analysis_period,gvkey,commodity,alpha,beta,p_value_beta,r_squared,spearman_corr,spearman_pval
Up to end_of_2010,25124,SN1 Comdty,0.005622521035047396,-6.858615572794032e-08,0.0028243567837206397,0.12374503741284804,-0.37952500971976033,0.001193990845495115
Up to end_of_2010,25173,SN1 Comdty,0.8241632313359801,5.010923369049061e-06,2.720261556926951e-08,0.11603730577959093,0.18209544000499567,0.0036561280183743084
Up to end_of_2010,25180,SN1 Comdty,0.4053303798254043,-3.835678140110614e-06,2.0378687865331263e-09,0.1326578029791693,-0.246911029361475,6.737772179450935e-05
Up to end_of_2010,25219,SN1 Comdty,6.612654276767436,0.0018327599356701512,9.864810300621452e-47,0.5665104163761141,0.5527876635693578,2.509042429023472e-21
Up to end_of_2010,25234,SN1 Comdty,0.08302326635574636,1.8547204717660816e-06,3.0861773297693363e-52,0.6790271774328247,0.6428378752370185,2.0819863975295338e-25
Up to end_of_2010,25274,SN1 Comdty,2026.221308112223,-0.047843258160198465,1.030036828633736e-65,0.7321023024955239,-0.3997393590492123,4.842382768039818e-10
Up to end_of_2010,25279,SN1 Comdty,0.09210849982634574,-7.583030445311921e-07,2.688039254546698e-34,0.4748692574123473,-0.7349727638789831,5.134978005763192e-41
Up to end_of_2010,25283,SN1 Comdty,4.985038202088254,8.863760207117869e-05,3.3797779682983304e-17,0.25058404753162555,0.2642421006015052,2.3999396287931756e-05
Up to end_of_2010,25313,SN1 Comdty,0.010760723651078441,-1.8568224061229034e-07,9.879846900941949e-39,0.5614639328829542,-0.8114494995388735,6.024142737431447e-50
Up to end_of_2010,25318,SN1 Comdty,-0.6062277191460248,2.5772532682140825e-05,1.3386270715769367e-07,0.9600534238125777,0.7881569423102951,0.003956192304592836
Up to end_of_2010,25340,SN1 Comdty,1.3432260199061796,5.9739811239442005e-06,0.0001148666171767925,0.05765243422851629,0.010830883347331916,0.8638875008227433
Up to end_of_2010,25389,SN1 Comdty,1.9613472061598782,-6.960144724857253e-06,0.00909342466142978,0.0272263084379597,-0.3903195710991996,1.7350011857333579e-10
Up to end_of_2010,25434,SN1 Comdty,1.281785218916489,-3.988479352490922e-06,0.05572618385375381,0.0147390074327709,-0.11628243206163716,0.06696746420698485
Up to end_of_2010,25536,SN1 Comdty,138.57976916590124,-0.0026880277545764495,3.399106085007156e-36,0.5048343755673538,-0.6591774650956049,1.1253483326100835e-29
Up to end_of_2010,25633,SN1 Comdty,-0.07444007427544279,1.0697683712683155e-05,5.498330207867107e-47,0.5820741060186341,0.8898248236868741,4.629642214067861e-83
Up to end_of_2010,25747,SN1 Comdty,0.10251572593894162,-6.836629751853614e-08,0.4289559240973746,0.0025660943685408277,-0.22785969059365718,0.0003143827582571447
Up to end_of_2010,25749,SN1 Comdty,6.274567283139621,9.431261605872715e-06,0.17706835613255922,0.007247277169985411,-0.10545070295468413,0.09419751666793921
